Operating with dopri5
Iter 0020 | Total Loss 224.179276

Iter 0040 | Total Loss 2057.061035

Iter 0060 | Total Loss 1453.323120

Iter 0080 | Total Loss 2060.353760

Iter 0100 | Total Loss 563.828308

Iter 0120 | Total Loss 522.567444

Iter 0140 | Total Loss 405.468597

Iter 0160 | Total Loss 26080.359375

Iter 0180 | Total Loss 348.336548

Iter 0200 | Total Loss 614.327820

Iter 0220 | Total Loss 269.485748

Iter 0240 | Total Loss 278.515259

Iter 0260 | Total Loss 127.992065

Iter 0280 | Total Loss 177.550247

Iter 0300 | Total Loss 143.169861

Iter 0320 | Total Loss 143.677643

Iter 0340 | Total Loss 164.926315

Iter 0360 | Total Loss 143.378006

Iter 0380 | Total Loss 246.895370

Iter 0400 | Total Loss 239.474167

Iter 0420 | Total Loss 105.314270

Iter 0440 | Total Loss 144.284729

Iter 0460 | Total Loss 142.858505

Iter 0480 | Total Loss 121.843781

Iter 0500 | Total Loss 166.701874

Iter 0520 | Total Loss 496.647705

Iter 0540 | Total Loss 158.688141

Iter 0560 | Total Loss 131.372513

Iter 0580 | Total Loss 533.826416

Iter 0600 | Total Loss 207.053543

Iter 0620 | Total Loss 180.968918

Iter 0640 | Total Loss 195.779205

Iter 0660 | Total Loss 163.161362

Iter 0680 | Total Loss 201.324722

Iter 0700 | Total Loss 162.445648

Iter 0720 | Total Loss 115.788345

Iter 0740 | Total Loss 279.496277

Iter 0760 | Total Loss 217.679901

Iter 0780 | Total Loss 310.282471

Iter 0800 | Total Loss 107.588699

Iter 0820 | Total Loss 156.831543

Iter 0840 | Total Loss 112.949501

Iter 0860 | Total Loss 233.841644

Iter 0880 | Total Loss 138.669876

Iter 0900 | Total Loss 62.676868

Iter 0920 | Total Loss 96.991791

Iter 0940 | Total Loss 192.717392

Iter 0960 | Total Loss 131.659775

Iter 0980 | Total Loss 134.686859

Iter 1000 | Total Loss 102.525749

Iter 1020 | Total Loss 442.102783

Iter 1040 | Total Loss 91.812111

Iter 1060 | Total Loss 119.113785

Iter 1080 | Total Loss 94.164314

Iter 1100 | Total Loss 40.752556

Iter 1120 | Total Loss 101.014854

Iter 1140 | Total Loss 140.222046

Iter 1160 | Total Loss 91.245415

Iter 1180 | Total Loss 88.745178

Iter 1200 | Total Loss 144.455475

Iter 1220 | Total Loss 154.383911

Iter 1240 | Total Loss 84.325706

Iter 1260 | Total Loss 109.285240

Iter 1280 | Total Loss 30.155094

Iter 1300 | Total Loss 151.100082

Iter 1320 | Total Loss 91.512398

Iter 1340 | Total Loss 143.573608

Iter 1360 | Total Loss 78.985451

Iter 1380 | Total Loss 138.162750

Iter 1400 | Total Loss 151.977356

Iter 1420 | Total Loss 104.598022

Iter 1440 | Total Loss 106.431572

Iter 1460 | Total Loss 100.862190

Iter 1480 | Total Loss 139.795853

Iter 1500 | Total Loss 122.628670

Iter 1520 | Total Loss 129.937195

Iter 1540 | Total Loss 116.001236

Iter 1560 | Total Loss 95.357323

Iter 1580 | Total Loss 112.279549

Iter 1600 | Total Loss 124.895576

Iter 1620 | Total Loss 150.370743

Iter 1640 | Total Loss 125.237511

Iter 1660 | Total Loss 142.191940

Iter 1680 | Total Loss 149.586563

Iter 1700 | Total Loss 121.947426

Iter 1720 | Total Loss 101.580978

Iter 1740 | Total Loss 197.615250

Iter 1760 | Total Loss 95.244637

Iter 1780 | Total Loss 86.549461

Iter 1800 | Total Loss 73.422470

Iter 1820 | Total Loss 94.542030

Iter 1840 | Total Loss 125.041481

Iter 1860 | Total Loss 87.522072

Iter 1880 | Total Loss 119.681084

Iter 1900 | Total Loss 99.646835

Iter 1920 | Total Loss 47.286385

Iter 1940 | Total Loss 114.689354

Iter 1960 | Total Loss 121.930733

Iter 1980 | Total Loss 102.112396

Iter 2000 | Total Loss 45.486343

Average time per iteration = 5.041787654876709
