Operating with implicit_adams
Iter 0020 | Total Loss 0.029954

Iter 0040 | Total Loss 0.044737

Iter 0060 | Total Loss 0.211661

Iter 0080 | Total Loss 0.189347

Iter 0100 | Total Loss 0.081900

Iter 0120 | Total Loss 0.263290

Iter 0140 | Total Loss 0.008748

Iter 0160 | Total Loss 0.007613

Iter 0180 | Total Loss 0.002254

Iter 0200 | Total Loss 0.003135

Iter 0220 | Total Loss 0.001268

Iter 0240 | Total Loss 0.000582

Iter 0260 | Total Loss 0.004005

Iter 0280 | Total Loss 0.000615

Iter 0300 | Total Loss 0.010510

Iter 0320 | Total Loss 0.004120

Iter 0340 | Total Loss 0.042277

Iter 0360 | Total Loss 0.004027

Iter 0380 | Total Loss 0.034410

Iter 0400 | Total Loss 0.001269

Iter 0420 | Total Loss 0.009741

Iter 0440 | Total Loss 0.008520

Iter 0460 | Total Loss 0.006112

Iter 0480 | Total Loss 0.137480

Iter 0500 | Total Loss 0.033382

Iter 0520 | Total Loss 0.001714

Iter 0540 | Total Loss 0.008941

Iter 0560 | Total Loss 0.001714

Iter 0580 | Total Loss 0.036072

Iter 0600 | Total Loss 0.002651

Iter 0620 | Total Loss 0.002391

Iter 0640 | Total Loss 0.018410

Iter 0660 | Total Loss 0.058537

Iter 0680 | Total Loss 0.064743

Iter 0700 | Total Loss 0.000370

Iter 0720 | Total Loss 0.001295

Iter 0740 | Total Loss 0.012660

Iter 0760 | Total Loss 0.006975

Iter 0780 | Total Loss 0.000321

Iter 0800 | Total Loss 0.000074

Iter 0820 | Total Loss 0.009668

Iter 0840 | Total Loss 0.000618

Iter 0860 | Total Loss 0.000706

Iter 0880 | Total Loss 0.001036

Iter 0900 | Total Loss 0.000672

Iter 0920 | Total Loss 0.001461

Iter 0940 | Total Loss 0.000613

Iter 0960 | Total Loss 0.000700

Iter 0980 | Total Loss 0.001103

Iter 1000 | Total Loss 0.001228

Iter 1020 | Total Loss 0.000827

Iter 1040 | Total Loss 0.001865

Iter 1060 | Total Loss 0.014487

Iter 1080 | Total Loss 0.001465

Iter 1100 | Total Loss 0.003222

Iter 1120 | Total Loss 0.003568

Iter 1140 | Total Loss 0.003907

Iter 1160 | Total Loss 0.000478

Iter 1180 | Total Loss 0.007483

Iter 1200 | Total Loss 0.005786

Iter 1220 | Total Loss 0.002145

Iter 1240 | Total Loss 0.000545

Iter 1260 | Total Loss 0.001174

Iter 1280 | Total Loss 0.004869

Iter 1300 | Total Loss 0.015045

Iter 1320 | Total Loss 0.041671

Iter 1340 | Total Loss 0.008472

Iter 1360 | Total Loss 0.002517

Iter 1380 | Total Loss 0.004397

Iter 1400 | Total Loss 0.008664

Iter 1420 | Total Loss 0.007444

Iter 1440 | Total Loss 0.005335

Iter 1460 | Total Loss 0.028727

Iter 1480 | Total Loss 0.005948

Iter 1500 | Total Loss 0.000286

Iter 1520 | Total Loss 0.000291

Iter 1540 | Total Loss 0.000349

Iter 1560 | Total Loss 0.002310

Iter 1580 | Total Loss 0.000168

Iter 1600 | Total Loss 0.001514

Iter 1620 | Total Loss 0.000780

Iter 1640 | Total Loss 0.003992

Iter 1660 | Total Loss 0.010660

Iter 1680 | Total Loss 0.022821

Iter 1700 | Total Loss 0.029445

Iter 1720 | Total Loss 0.006141

Iter 1740 | Total Loss 0.002798

Iter 1760 | Total Loss 0.000725

Iter 1780 | Total Loss 0.002005

Iter 1800 | Total Loss 0.001585

Iter 1820 | Total Loss 0.001302

Iter 1840 | Total Loss 0.000062

Iter 1860 | Total Loss 0.000477

Iter 1880 | Total Loss 0.000625

Iter 1900 | Total Loss 0.001095

Iter 1920 | Total Loss 0.002001

Iter 1940 | Total Loss 0.000318

Iter 1960 | Total Loss 0.000744

Iter 1980 | Total Loss 0.001112

Iter 2000 | Total Loss 0.007221

Average time per iteration = 0.13201269102096558
