Operating with rk4
Iter 0020 | Total Loss 0.287544

Iter 0040 | Total Loss 0.044041

Iter 0060 | Total Loss 0.012539

Iter 0080 | Total Loss 0.005290

Iter 0100 | Total Loss 0.009325

Iter 0120 | Total Loss 0.007805

Iter 0140 | Total Loss 0.024137

Iter 0160 | Total Loss 0.005701

Iter 0180 | Total Loss 0.033274

Iter 0200 | Total Loss 0.013948

Iter 0220 | Total Loss 0.016249

Iter 0240 | Total Loss 0.010294

Iter 0260 | Total Loss 0.001784

Iter 0280 | Total Loss 0.002874

Iter 0300 | Total Loss 0.000585

Iter 0320 | Total Loss 0.041227

Iter 0340 | Total Loss 0.010982

Iter 0360 | Total Loss 0.003407

Iter 0380 | Total Loss 0.016020

Iter 0400 | Total Loss 0.027515

Iter 0420 | Total Loss 0.017531

Iter 0440 | Total Loss 0.000643

Iter 0460 | Total Loss 0.000249

Iter 0480 | Total Loss 0.000246

Iter 0500 | Total Loss 0.000340

Iter 0520 | Total Loss 0.000727

Iter 0540 | Total Loss 0.006456

Iter 0560 | Total Loss 0.001950

Iter 0580 | Total Loss 0.000112

Iter 0600 | Total Loss 0.001446

Iter 0620 | Total Loss 0.002957

Iter 0640 | Total Loss 0.004078

Iter 0660 | Total Loss 0.000629

Iter 0680 | Total Loss 0.000165

Iter 0700 | Total Loss 0.000225

Iter 0720 | Total Loss 0.001364

Iter 0740 | Total Loss 0.000160

Iter 0760 | Total Loss 0.000287

Iter 0780 | Total Loss 0.000175

Iter 0800 | Total Loss 0.000052

Iter 0820 | Total Loss 0.000014

Iter 0840 | Total Loss 0.000208

Iter 0860 | Total Loss 0.000580

Iter 0880 | Total Loss 0.000342

Iter 0900 | Total Loss 0.009571

Iter 0920 | Total Loss 0.000968

Iter 0940 | Total Loss 0.001945

Iter 0960 | Total Loss 0.000387

Iter 0980 | Total Loss 0.000255

Iter 1000 | Total Loss 0.000003

Iter 1020 | Total Loss 0.000054

Iter 1040 | Total Loss 0.000085

Iter 1060 | Total Loss 0.000309

Iter 1080 | Total Loss 0.000056

Iter 1100 | Total Loss 0.000552

Iter 1120 | Total Loss 0.000038

Iter 1140 | Total Loss 0.000704

Iter 1160 | Total Loss 0.000069

Iter 1180 | Total Loss 0.000123

Iter 1200 | Total Loss 0.000014

Iter 1220 | Total Loss 0.000043

Iter 1240 | Total Loss 0.000036

Iter 1260 | Total Loss 0.000070

Iter 1280 | Total Loss 0.000003

Iter 1300 | Total Loss 0.000041

Iter 1320 | Total Loss 0.000137

Iter 1340 | Total Loss 0.001598

Iter 1360 | Total Loss 0.003074

Iter 1380 | Total Loss 0.008119

Iter 1400 | Total Loss 0.021087

Iter 1420 | Total Loss 0.001565

Iter 1440 | Total Loss 0.000729

Iter 1460 | Total Loss 0.001567

Iter 1480 | Total Loss 0.000324

Iter 1500 | Total Loss 0.000570

Iter 1520 | Total Loss 0.000528

Iter 1540 | Total Loss 0.001920

Iter 1560 | Total Loss 0.001540

Iter 1580 | Total Loss 0.004916

Iter 1600 | Total Loss 0.002926

Iter 1620 | Total Loss 0.000930

Iter 1640 | Total Loss 0.004256

Iter 1660 | Total Loss 0.001210

Iter 1680 | Total Loss 0.000844

Iter 1700 | Total Loss 0.000973

Iter 1720 | Total Loss 0.000016

Iter 1740 | Total Loss 0.000027

Iter 1760 | Total Loss 0.000014

Iter 1780 | Total Loss 0.000007

Iter 1800 | Total Loss 0.000006

Iter 1820 | Total Loss 0.006230

Iter 1840 | Total Loss 0.000306

Iter 1860 | Total Loss 0.003234

Iter 1880 | Total Loss 0.015238

Iter 1900 | Total Loss 0.000173

Iter 1920 | Total Loss 0.000550

Iter 1940 | Total Loss 0.000199

Iter 1960 | Total Loss 0.000127

Iter 1980 | Total Loss 0.000782

Iter 2000 | Total Loss 0.000249

Average time per iteration = 0.008958125352859498
