Operating with dopri5
Iter 0020 | Total Loss 0.961668

Iter 0040 | Total Loss 0.560608

Iter 0060 | Total Loss 0.619817

Iter 0080 | Total Loss 0.575663

Iter 0100 | Total Loss 0.400468

Iter 0120 | Total Loss 0.200368

Iter 0140 | Total Loss 0.083934

Iter 0160 | Total Loss 0.056985

Iter 0180 | Total Loss 0.042397

Iter 0200 | Total Loss 0.041238

Iter 0220 | Total Loss 0.027343

Iter 0240 | Total Loss 0.026682

Iter 0260 | Total Loss 0.031726

Iter 0280 | Total Loss 0.025022

Iter 0300 | Total Loss 0.024052

Iter 0320 | Total Loss 0.025348

Iter 0340 | Total Loss 0.021784

Iter 0360 | Total Loss 0.021608

Iter 0380 | Total Loss 0.022446

Iter 0400 | Total Loss 0.025109

Iter 0420 | Total Loss 0.019457

Iter 0440 | Total Loss 0.017413

Iter 0460 | Total Loss 0.019360

Iter 0480 | Total Loss 0.017787

Iter 0500 | Total Loss 0.018982

Iter 0520 | Total Loss 0.020095

Iter 0540 | Total Loss 0.018283

Iter 0560 | Total Loss 0.018874

Iter 0580 | Total Loss 0.013821

Iter 0600 | Total Loss 0.013504

Iter 0620 | Total Loss 0.015260

Iter 0640 | Total Loss 0.015078

Iter 0660 | Total Loss 0.012275

Iter 0680 | Total Loss 0.011433

Iter 0700 | Total Loss 0.012679

Iter 0720 | Total Loss 0.018095

Iter 0740 | Total Loss 0.014537

Iter 0760 | Total Loss 0.011112

Iter 0780 | Total Loss 0.010517

Iter 0800 | Total Loss 0.012584

Iter 0820 | Total Loss 0.012563

Iter 0840 | Total Loss 0.010111

Iter 0860 | Total Loss 0.012149

Iter 0880 | Total Loss 0.011345

Iter 0900 | Total Loss 0.010095

Iter 0920 | Total Loss 0.009344

Iter 0940 | Total Loss 0.011356

Iter 0960 | Total Loss 0.009626

Iter 0980 | Total Loss 0.008904

Iter 1000 | Total Loss 0.012046

Iter 1020 | Total Loss 0.012426

Iter 1040 | Total Loss 0.009018

Iter 1060 | Total Loss 0.008715

Iter 1080 | Total Loss 0.010739

Iter 1100 | Total Loss 0.009440

Iter 1120 | Total Loss 0.008263

Iter 1140 | Total Loss 0.007675

Iter 1160 | Total Loss 0.008193

Iter 1180 | Total Loss 0.007397

Iter 1200 | Total Loss 0.010033

Iter 1220 | Total Loss 0.010367

Iter 1240 | Total Loss 0.008450

Iter 1260 | Total Loss 0.008428

Iter 1280 | Total Loss 0.007095

Iter 1300 | Total Loss 0.009105

Iter 1320 | Total Loss 0.010742

Iter 1340 | Total Loss 0.007125

Iter 1360 | Total Loss 0.007100

Iter 1380 | Total Loss 0.006481

Iter 1400 | Total Loss 0.007676

Iter 1420 | Total Loss 0.006816

Iter 1440 | Total Loss 0.008351

Iter 1460 | Total Loss 0.009657

Iter 1480 | Total Loss 0.005877

Iter 1500 | Total Loss 0.007191

Iter 1520 | Total Loss 0.005544

Iter 1540 | Total Loss 0.007604

Iter 1560 | Total Loss 0.006465

Iter 1580 | Total Loss 0.006906

Iter 1600 | Total Loss 0.005649

Iter 1620 | Total Loss 0.007124

Iter 1640 | Total Loss 0.006587

Iter 1660 | Total Loss 0.006870

Iter 1680 | Total Loss 0.007330

Iter 1700 | Total Loss 0.008232

Iter 1720 | Total Loss 0.005479

Iter 1740 | Total Loss 0.006006

Iter 1760 | Total Loss 0.006060

Iter 1780 | Total Loss 0.007198

Iter 1800 | Total Loss 0.004831

Iter 1820 | Total Loss 0.004672

Iter 1840 | Total Loss 0.004766

Iter 1860 | Total Loss 0.005531

Iter 1880 | Total Loss 0.005736

Iter 1900 | Total Loss 0.004459

Iter 1920 | Total Loss 0.006614

Iter 1940 | Total Loss 0.004159

Iter 1960 | Total Loss 0.004403

Iter 1980 | Total Loss 0.004857

Iter 2000 | Total Loss 0.004904

Average time per iteration = 0.023122860431671142
